fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	envios	ganancia	iteracion
20220928 001755	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	257	TRUE	700429	0.033318798610449	0.663882509847045	7929	200	7778	26930000	78
20220928 002449	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1483	TRUE	700429	0.00533317707954891	0.799854437390805	1414	501	8335	27010000	79
20220928 002514	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	63	TRUE	700429	0.149962414293967	0.560742456076978	7971	201	7939	26770000	80
20220928 002751	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	386	TRUE	700429	0.0154727809433798	0.55107399304374	1662	623	10528	26630000	81
20220928 003116	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	692	TRUE	700429	0.0181690156709108	0.400027412670553	1059	200	12225	26190000	82
20220928 003208	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	119	TRUE	700429	0.0564011511451996	0.400330306216021	1331	803	7693	27340000	83
20220928 003242	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	77	TRUE	700429	0.082714365086244	0.400219279049802	2066	1024	11488	25990000	84
20220928 003354	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	187	TRUE	700429	0.022398661363563	0.413700220338853	7997	675	7369	25990000	85
20220928 003416	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	41	TRUE	700429	0.149976218678361	0.799790117296009	1873	201	8113	26980000	86
20220928 003453	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	99	TRUE	700429	0.149961564876733	0.799490774464152	1111	360	10116	26090000	87
20220928 003510	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	44	TRUE	700429	0.149997338078118	0.744418474425216	5618	200	7118	26090000	88
20220928 003638	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	182	TRUE	700429	0.0344796883603792	0.400758142787861	1534	299	8234	28340000	89
20220928 003728	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	175	TRUE	700429	0.065997346659239	0.521750095797619	7992	517	10824	26680000	90
20220928 003820	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	244	TRUE	700429	0.0343545942039212	0.799828880294281	7995	430	7479	26730000	91
20220928 003846	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	71	TRUE	700429	0.101017510520616	0.799832729464138	7998	778	8817	26610000	92
20220928 003937	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	178	TRUE	700429	0.0483357633825422	0.402600912465858	7999	202	14999	23530000	93
20220928 004134	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	270	TRUE	700429	0.0290230171783233	0.40017212427456	1525	266	8267	28350000	94
20220928 004430	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	413	TRUE	700429	0.00955536636613301	0.400195513509412	2094	1024	7671	27300000	95
20220928 004456	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	52	TRUE	700429	0.118203242671933	0.535587139479596	8000	1024	10763	26640000	96
20220928 004534	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	104	TRUE	700429	0.0985735402890174	0.513859941987525	4932	793	10699	26290000	97
