"maxdepth","minsplit","minbucket","threshold","y","dob","eol","error.message","exec.time","ei","error.model","train.time","prop.type","propose.time","se","mean"
8,1026,0.499243425688137,0.0423123448562751,20436000,49,NA,NA,72.8610000000008,-23006.7907913092,NA,0.346000000000458,"infill_ei",1.13300000000072,561755.883555491,20604661.5990963
9,2030,0.373909954072833,0.0469090554693088,20434666.6666667,50,NA,NA,73.5589999999993,-19767.1346961119,NA,0.195999999999913,"infill_ei",1.15499999999975,553027.688437643,20582027.4501125
8,762,0.459406362848624,0.0478706806421644,20918666.6666667,51,NA,NA,70.076,-11277.6473796622,NA,0.217999999999847,"infill_ei",1.3139999999994,442602.556014997,20671876.3497005
9,2045,0.39875603579918,0.0656412548653262,19749333.3333333,52,NA,NA,72.259,-9288.83911164239,NA,0.355999999999767,"infill_ei",1.21000000000004,629412.117463912,20238052.8944318
10,2814,0.245987154369126,0.0388215116411069,20249333.3333333,53,NA,NA,74.9349999999995,-7080.36798675873,NA,0.261000000000422,"infill_ei",1.34300000000076,641769.354679337,20142817.7897113
11,877,0.439673014155587,0.0453718633895005,21046666.6666667,54,NA,NA,85.6909999999998,-8888.03715142484,NA,0.451000000000022,"infill_ei",1.11899999999969,263491.781565869,20983857.0775159
11,853,0.371759432445637,0.0477509604876024,21013333.3333333,55,NA,NA,85.5799999999999,-6392.71883495295,NA,0.32300000000032,"infill_ei",1.15899999999965,301437.66297579,20868729.5331715
9,1831,0.112964729873,0.0517185698841298,21105333.3333333,56,NA,NA,74.2150000000001,-5125.92959738654,NA,0.30199999999968,"infill_ei",1.16800000000057,254443.913746507,20940280.5490823
7,888,0.100610892003982,0.0513811575971617,21370666.6666667,57,NA,NA,64.6099999999997,-4165.62945208188,NA,0.313000000000102,"infill_ei",1.17699999999968,740071.567684387,19771536.1979395
8,953,0.122006509984104,0.0488833369787571,20746666.6666667,58,NA,NA,69.4799999999996,-70893.8448179232,NA,0.158000000000357,"infill_ei",1.1850000000004,240654.973327976,21315397.8135732
6,814,0.0737945940470545,0.0553008075514074,20288000,59,NA,NA,56.3739999999998,-241429.544814574,NA,0.184000000000196,"infill_ei",1.01299999999992,293650.133854972,21568152.3075139
8,910,0.141447450067623,0.0520126648989673,21176000,60,NA,NA,69.402,-72545.2260423981,NA,0.611999999999171,"infill_ei",1.35400000000027,236493.738755373,21323288.442289
7,1041,0.0999719846578204,0.0517762953935802,21445333.3333333,61,NA,NA,62.8459999999995,-37171.5823437674,NA,0.367000000000189,"infill_ei",1.44999999999982,182899.696614116,21282408.7088133
7,1202,0.111344608887116,0.0517108450034466,21333333.3333333,62,NA,NA,60.674,-19600.7348043045,NA,0.48700000000008,"infill_ei",1.23899999999958,155605.24522635,21325001.4747588
20,1868,0.198248514684158,0.0423090012553347,21152000,63,NA,NA,87.5750000000007,-10119.7383683175,NA,0.407999999999447,"infill_ei",1.10200000000077,359037.311270767,20900652.2262314
8,976,0.388392200361275,0.0518097500949042,20992000,64,NA,NA,62.8499999999995,-7070.19368313671,NA,0.346000000000458,"infill_ei",1.1260000000002,358940.720982579,20846125.9236357
10,2217,0.341593482062212,0.058681869107885,20438666.6666667,65,NA,NA,68.7760000000007,-4662.01661704653,NA,0.384000000000015,"infill_ei",1.19700000000012,440490.09010126,20601043.8354907
20,2017,0.251271423340793,0.0662135385487535,20697333.3333333,66,NA,NA,85.6099999999997,-3736.2027039037,NA,0.295999999999367,"infill_ei",1.10599999999977,802486.800896702,19666224.2267539
20,956,0.24368739410654,0.067837132647626,19484000,67,NA,NA,94.1769999999997,-7162.6334713879,NA,0.243000000000393,"infill_ei",1.19200000000001,870127.143629862,19695036.8137101
20,2632,0.252092418006348,0.0623178563573463,20268000,68,NA,NA,73.2340000000004,-6475.27186802629,NA,0.209999999999127,"infill_ei",1.06999999999971,731568.760364958,19993576.4020404
17,1939,0.3274476952814,0.0630355295635484,20376000,69,NA,NA,73.4719999999998,-5537.40109010365,NA,0.257999999999811,"infill_ei",1.03999999999996,410689.499815526,20696807.4317149
6,6,0.499961893835011,0.0784239875374309,16644000,70,NA,NA,48.5020000000004,-3230.76623541126,NA,0.32799999999952,"infill_ei",1.11400000000049,1472616.21729551,17806963.3183025
20,1850,0.0951773265409163,0.0744299071334881,18292000,71,NA,NA,96.1280000000006,-2332.7344209117,NA,0.380000000000109,"infill_ei",1.19699999999921,1069759.21300545,18800183.2371396
8,3953,0.0000278668584762977,0.0301030153442028,16757333.3333333,72,NA,NA,54.7250000000004,-1910.05588252221,NA,0.359999999999673,"infill_ei",1.04899999999998,1392025.52556863,17797851.0426439
20,1930,0.223380420761809,0.0373623822971623,20448000,73,NA,NA,81.268,-4021.96566991189,NA,0.350999999999658,"infill_ei",1.02700000000004,449095.603074067,20556106.1867685
8,1075,0.0904082009483387,0.0518891378742592,20450666.6666667,74,NA,NA,63.9780000000001,-11341.4248391403,NA,0.57799999999952,"infill_ei",1.6840000000002,135214.597975719,21310596.203024
7,981,0.164583142455231,0.0522227720721327,21460000,75,NA,NA,53.1499999999996,-555671.968839972,NA,0.311000000000604,"infill_ei",1.11799999999948,158178.756888929,22000996.5144417
